type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,22.0,null,null,false,null,null,null,null
ACTIVE_ZONE_MINUTES_GOAL,WEEKLY,150.0,null,null,false,null,null,null,null
CALORIES_BURNED_GOAL,DAILY,1804.0,280.0,INPROGRESS_SO_FAR_MISSED,false,2026-04-14,2026-04-15,2026-03-19T18:21:01.000+00:00,null
STEPS_GOAL,DAILY,10000.0,220.0,INPROGRESS_SO_FAR_MISSED,false,2026-04-14,2026-04-15,2026-03-19T18:21:01.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2026-03-19,2026-03-20,2026-03-19T18:21:01.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,0.086091,INPROGRESS_SO_FAR_MISSED,false,2026-04-14,2026-04-15,2026-03-19T18:21:01.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2026-04-14,2026-04-15,2026-03-19T18:21:01.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,5312.0,INPROGRESS_SO_FAR_MISSED,true,2026-04-13,2026-04-20,2026-03-19T18:21:01.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,1.97544,INPROGRESS_SO_FAR_MISSED,false,2026-04-13,2026-04-20,2026-03-19T18:21:01.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2026-03-16,2026-03-23,2026-03-19T18:21:01.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,12628.0,1853.0,INPROGRESS_SO_FAR_MISSED,false,2026-04-13,2026-04-20,2026-03-19T18:21:01.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2026-03-16,2026-03-23,2026-03-19T18:21:01.000+00:00,null
